pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00341396,"",D000022122,Moveon.org,25398,25297,101,2018-04-16 00:00:00 +0000,1,"","",0,""
C00488486,"",D000000075,Communications Workers of America,17007,17000,7,2018-04-16 00:00:00 +0000,2,x,"",0,D000000075
C00157545,"",D000000083,American Federation of Teachers,12742,12700,42,2018-04-16 00:00:00 +0000,3,"","",0,""
"","",D000000406,University of California                ,11984,0,11984,2018-04-16 00:00:00 +0000,4,x,"",0,D000000406
C00004861,"",D000022292,Unite Here,10027,10000,27,2018-04-16 00:00:00 +0000,5,x,"",0,D000022292
"","",D000066697,Bristol Bay Native Assn,10000,0,10000,2018-04-16 00:00:00 +0000,6,"","",0,""
C00629071,"","",Fearless for the People,10000,10000,0,2018-04-16 00:00:00 +0000,6,"","",0,""
C00331694,"",D000023894,America Works,10000,10000,0,2018-04-16 00:00:00 +0000,6,"","",0,""
C00605410,"","",Climate Champions PAC,10000,10000,0,2018-04-16 00:00:00 +0000,6,"","",0,""
C00032995,"",D000000203,Amalgamated Transit Union,9500,9500,0,2018-04-16 00:00:00 +0000,10,x,"",0,D000000203
C00461418,"","",National Union of Healthcare Workers,8027,8000,27,2018-04-16 00:00:00 +0000,11,"","",0,""
C00010322,"",D000000143,American Postal Workers Union,7700,7700,0,2018-04-16 00:00:00 +0000,12,x,"",0,D000000143
"","","",Friends of Bernie Sanders,7100,7100,0,2018-04-16 00:00:00 +0000,13,"","",0,""
C00003590,"",D000000102,United Steelworkers,7037,7000,37,2018-04-16 00:00:00 +0000,14,x,"",0,D000000102
C00023580,"",D000000084,National Assn of Letter Carriers,6500,6500,0,2018-04-16 00:00:00 +0000,15,"","",0,""
C00512293,"",D000000304,American Federation of Government Employees,5500,5500,0,2018-04-16 00:00:00 +0000,16,x,"",0,D000000304
C00027359,"",D000000140,Ironworkers Union,5000,5000,0,2018-04-16 00:00:00 +0000,17,"","",0,""
C00164152,"",D000070010,United Postmasters & Managers of America,5000,5000,0,2018-04-16 00:00:00 +0000,17,"","",0,""
C00497131,"","",CoryPAC,5000,5000,0,2018-04-16 00:00:00 +0000,17,"","",0,""
"","",D000036514,Park Foundation,5000,0,5000,2018-04-16 00:00:00 +0000,17,"","",0,""
"","",D000036467,Pacific Gourmet,5000,0,5000,2018-04-16 00:00:00 +0000,17,"","",0,""
"","","",Rkb Enterprises,5000,0,5000,2018-04-16 00:00:00 +0000,17,"","",0,""
