pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
"","",D000000769,"Paul, Weiss et al",156827,0,156827,2018-04-16 00:00:00 +0000,1,"","",0,""
C00211318,"",D000000131,Deloitte LLP,127259,35000,92259,2018-04-16 00:00:00 +0000,2,x,x,2,D000000131
C00303024,"",D000000104,Lockheed Martin,122950,29000,93950,2018-04-16 00:00:00 +0000,3,x,"",2,D000000104
C00107235,"",D000000124,PricewaterhouseCoopers,119010,30000,89010,2018-04-16 00:00:00 +0000,4,x,x,0,D000000124
C00247403,"",D000022158,NorPAC,117368,0,117368,2018-04-16 00:00:00 +0000,5,"","",0,""
"","",D000021873,Blackstone Group,114110,5000,109110,2018-04-16 00:00:00 +0000,6,"","",0,""
C00280222,"",D000019986,KPMG LLP,110300,32500,77800,2018-04-16 00:00:00 +0000,7,x,x,0,D000019986
"","",D000067823,Alphabet Inc,100718,16500,84218,2018-04-16 00:00:00 +0000,8,"","",0,""
"","",D000035294,Lazard Ltd,100250,0,100250,2018-04-16 00:00:00 +0000,9,"","",0,""
C00039305,"",D000000071,Citigroup Inc,100175,17000,83175,2018-04-16 00:00:00 +0000,10,"","",0,""
C00158881,"",D000000249,New York Life Insurance,100050,35000,65050,2018-04-16 00:00:00 +0000,11,x,"",2,D000000249
C00033589,"",D000000457,Corning Inc,95650,22500,73150,2018-04-16 00:00:00 +0000,12,"","",0,""
C00350744,"",D000000085,Goldman Sachs,91350,32500,58850,2018-04-16 00:00:00 +0000,13,x,"",3,D000000085
C00362707,"",D000000374,Cisco Systems,88900,15000,73900,2018-04-16 00:00:00 +0000,14,"","",0,""
C00227744,"",D000000098,Ernst & Young,86600,27500,59100,2018-04-16 00:00:00 +0000,15,x,x,4,D000000098
C00493551,"",D000000172,MetLife Inc,84650,34000,50650,2018-04-16 00:00:00 +0000,16,x,"",3,D000000172
"","",D000021767,National Amusements Inc,83295,5000,78295,2018-04-16 00:00:00 +0000,17,"","",0,""
C00418095,"",D000025897,"Fragomen, Del Rey et al",82200,5200,77000,2018-04-16 00:00:00 +0000,18,"","",0,""
C00562264,"",D000067512,Regeneron Pharmaceuticals,82103,15400,66703,2018-04-16 00:00:00 +0000,19,"","",0,""
"","",D000021754,Apple Inc,79950,0,79950,2018-04-16 00:00:00 +0000,20,"","",0,""
