pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00247403,"",D000022158,NorPAC,158871,4827,154044,2018-04-16 00:00:00 +0000,1,"","",0,""
"","",D000000769,"Paul, Weiss Et Al",157820,0,157820,2018-04-16 00:00:00 +0000,2,"","",0,""
C00412635,"",D000026216,Gibbons PC,110950,10000,100950,2018-04-16 00:00:00 +0000,3,"","",0,""
C00266585,"",D000000344,Greenberg Traurig LLP,89210,9000,80210,2018-04-16 00:00:00 +0000,4,"",x,0,D000000344
C00350744,"",D000000085,Goldman Sachs,88100,5000,83100,2018-04-16 00:00:00 +0000,5,x,"",0,D000000085
C00493304,"",D000000141,Prudential Financial,86500,27500,59000,2018-04-16 00:00:00 +0000,6,x,"",0,D000000141
"","",D000000464,Sullivan & Cromwell,82760,0,82760,2018-04-16 00:00:00 +0000,7,"","",0,""
"","",D000000811,Kirkland & Ellis,81900,0,81900,2018-04-16 00:00:00 +0000,8,"",x,0,D000000811
"","",D000032339,"Carella, Byrne et al",79400,0,79400,2018-04-16 00:00:00 +0000,9,"","",0,""
C00151340,"",D000021569,DLA Piper,77100,20000,57100,2018-04-16 00:00:00 +0000,10,"","",0,""
"","",D000022025,Henry Crown & Co,75400,0,75400,2018-04-16 00:00:00 +0000,11,"","",0,""
"","",D000030377,Third Point LLC,73750,0,73750,2018-04-16 00:00:00 +0000,12,"","",0,""
C00097485,"",D000000275,Merck & Co,71825,28500,43325,2018-04-16 00:00:00 +0000,13,x,"",2,D000000275
"","",D000032732,"Cole, Schotz et al",71298,0,71298,2018-04-16 00:00:00 +0000,14,"","",0,""
"","","",Charmer Sunbelt Group,70600,0,70600,2018-04-16 00:00:00 +0000,15,"","",0,""
C00197749,"",D000000128,Walt Disney Co,70581,1000,69581,2018-04-16 00:00:00 +0000,16,"","",0,""
C00337626,"",D000000106,Morgan Stanley,67910,7000,60910,2018-04-16 00:00:00 +0000,17,x,"",0,D000000106
"","",D000036630,Pershing Square Capital Management,67900,0,67900,2018-04-16 00:00:00 +0000,18,x,"",0,D000036630
C00248716,"",D000000461,Comcast Corp,67305,32500,34805,2018-04-16 00:00:00 +0000,19,x,"",4,D000000461
"","",D000036911,"Quinn, Emanuel et al                    ",64000,0,64000,2018-04-16 00:00:00 +0000,20,x,x,0,D000036911
