pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00019653,"",D000000239,Edison International,77300,24800,52500,2018-04-16 00:00:00 +0000,1,x,"",0,D000000239
C00193433,"",D000000113,EMILY's List,61360,5000,56360,2018-04-16 00:00:00 +0000,2,"","",0,""
C00177469,"",D000000290,PG&E Corp,55899,30999,24900,2018-04-16 00:00:00 +0000,3,x,"",5,D000000290
"","",D000036707,Pisces Inc,40500,0,40500,2018-04-16 00:00:00 +0000,4,"","",0,""
C00078451,"",D000000165,General Dynamics,34000,21500,12500,2018-04-16 00:00:00 +0000,5,x,"",1,D000000165
"","",D000000406,University of California                ,33289,0,33289,2018-04-16 00:00:00 +0000,6,"","",0,""
C00088591,"",D000000170,Northrop Grumman,33250,33000,250,2018-04-16 00:00:00 +0000,7,x,"",1,D000000170
C00096156,"",D000000334,Honeywell International,32500,32500,0,2018-04-16 00:00:00 +0000,8,x,"",3,D000000334
C00215285,"",D000000317,General Atomics,31775,15500,16275,2018-04-16 00:00:00 +0000,9,x,"",1,D000000317
C00104901,"",D000000162,"Akin, Gump et al",29700,4500,25200,2018-04-16 00:00:00 +0000,10,"",x,3,D000000162
C00411116,"",D000029147,SpaceX,28800,18000,10800,2018-04-16 00:00:00 +0000,11,"","",0,""
C00248716,"",D000000461,Comcast Corp,28500,21500,7000,2018-04-16 00:00:00 +0000,12,x,"",1,D000000461
"","",D000023641,Pechanga Band of Luiseno Mission Indians,27700,0,27700,2018-04-16 00:00:00 +0000,13,x,"",0,D000023641
C00010082,"",D000022131,NCTA The Internet & Television Assn,27500,27500,0,2018-04-16 00:00:00 +0000,14,x,"",0,D000022131
C00197749,"",D000000128,Walt Disney Co,26375,15000,11375,2018-04-16 00:00:00 +0000,15,x,"",0,D000000128
C00339085,"",D000000794,Qualcomm Inc,26300,15500,10800,2018-04-16 00:00:00 +0000,16,x,"",0,D000000794
C00001198,"",D000023971,American Hotel & Lodging Assn,26000,26000,0,2018-04-16 00:00:00 +0000,17,x,"",0,D000023971
C00431072,"",D000024233,"Baker, Donelson et al",25100,9500,15600,2018-04-16 00:00:00 +0000,18,"","",0,""
"","","",Sweetgreen,25000,0,25000,2018-04-16 00:00:00 +0000,19,"","",0,""
C00125641,"",D000000804,Intel Corp,25000,25000,0,2018-04-16 00:00:00 +0000,19,x,"",3,D000000804
C00097568,"",D000000175,Raytheon Co,25000,25000,0,2018-04-16 00:00:00 +0000,19,x,"",1,D000000175
C00580894,"",D000030766,Vail Resorts,25000,15000,10000,2018-04-16 00:00:00 +0000,19,"","",0,""
