pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00450098,"",D000029916,Womencount PAC,110472,3005,107467,2018-04-16 00:00:00 +0000,1,"","",0,""
C00193433,"",D000000113,EMILY's List,99846,5000,94846,2018-04-16 00:00:00 +0000,2,"","",0,""
C00410613,"",D000024489,Brown Rudnick Llp,95600,5000,90600,2018-04-16 00:00:00 +0000,3,"",x,0,D000024489
"","",D000000544,Harvard University,82387,0,82387,2018-04-16 00:00:00 +0000,4,x,"",0,D000000544
"","",D000054859,Nuance Communications,51250,0,51250,2018-04-16 00:00:00 +0000,5,"","",0,""
"","",D000000406,University of California,50782,0,50782,2018-04-16 00:00:00 +0000,6,x,"",0,D000000406
"","",D000022282,Thornton Law Firm,50400,0,50400,2018-04-16 00:00:00 +0000,7,"","",0,""
"","",D000034729,InterSystems Corp,45925,0,45925,2018-04-16 00:00:00 +0000,8,x,"",0,D000034729
"","",D000022098,Massachusetts Institute of Technology,42633,0,42633,2018-04-16 00:00:00 +0000,9,x,"",0,D000022098
"","",D000022082,"Lieff, Cabraser et al",39426,0,39426,2018-04-16 00:00:00 +0000,10,"","",0,""
"","",D000000750,Stanford University,36125,0,36125,2018-04-16 00:00:00 +0000,11,x,"",0,D000000750
"","","",Blue Haven Initiative,35800,0,35800,2018-04-16 00:00:00 +0000,12,"","",0,""
"","",D000032492,Charles River Ventures,35100,0,35100,2018-04-16 00:00:00 +0000,13,"","",0,""
"","",D000047662,Beacon Health Options,31255,0,31255,2018-04-16 00:00:00 +0000,14,"","",0,""
C00027342,"",D000000069,International Brotherhood of Electrical Workers,30964,30000,964,2018-04-16 00:00:00 +0000,15,x,"",0,D000000069
"","",D000021910,Children's Research & Education Institute,30800,0,30800,2018-04-16 00:00:00 +0000,16,"","",0,""
"","",D000031435,Alsop Louie Partners,28700,0,28700,2018-04-16 00:00:00 +0000,17,"","",0,""
"","",D000036260,Northeastern University,27763,0,27763,2018-04-16 00:00:00 +0000,18,x,"",0,D000036260
C00248716,"",D000000461,Comcast Corp,27569,0,27569,2018-04-16 00:00:00 +0000,19,"","",0,""
"","",D000060991,Dimensional Insight Inc,25825,0,25825,2018-04-16 00:00:00 +0000,20,"","",0,""
