pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00281212,"",D000000583,BAE Systems,46750,44500,2250,2018-04-16 00:00:00 +0000,1,x,"",1,D000000583
C00109546,"",D000022303,Valero Energy,40000,40000,0,2018-04-16 00:00:00 +0000,2,x,"",2,D000022303
C00303024,"",D000000104,Lockheed Martin,39000,39000,0,2018-04-16 00:00:00 +0000,3,x,"",3,D000000104
C00078451,"",D000000165,General Dynamics,38000,29000,9000,2018-04-16 00:00:00 +0000,4,x,"",4,D000000165
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,36000,36000,0,2018-04-16 00:00:00 +0000,5,x,"",0,D000000233
"","",D000066815,CRH PLC,36000,36000,0,2018-04-16 00:00:00 +0000,5,"","",0,""
"","",D000000089,FedEx Corp,35500,35500,0,2018-04-16 00:00:00 +0000,7,"","",0,""
C00325092,"",D000064813,Huntington Ingalls Industries,35500,35500,0,2018-04-16 00:00:00 +0000,7,x,"",2,D000064813
C00236489,"",D000000186,Koch Industries,35200,30000,5200,2018-04-16 00:00:00 +0000,9,x,"",8,D000000186
C00144766,"",D000000101,National Beer Wholesalers Assn,35000,35000,0,2018-04-16 00:00:00 +0000,10,x,"",0,D000000101
C00250399,"",D000021853,Automotive Free International Trade PAC,35000,35000,0,2018-04-16 00:00:00 +0000,10,"","",0,""
C00130773,"",D000000755,National Multi Housing Council,35000,35000,0,2018-04-16 00:00:00 +0000,10,x,"",0,D000000755
C00097568,"",D000000175,Raytheon Co,33500,33500,0,2018-04-16 00:00:00 +0000,13,x,"",0,D000000175
C00000901,"",D000000086,National Assn of Home Builders,32500,32500,0,2018-04-16 00:00:00 +0000,14,x,"",3,D000000086
C00163832,"",D000000148,CSX Corp,30000,30000,0,2018-04-16 00:00:00 +0000,15,x,"",2,D000000148
C00010470,"",D000000118,Union Pacific Corp,30000,30000,0,2018-04-16 00:00:00 +0000,15,x,"",1,D000000118
C00002972,"",D000000153,National Rural Electric Cooperative Assn,30000,30000,0,2018-04-16 00:00:00 +0000,15,x,"",1,D000000153
C00088591,"",D000000170,Northrop Grumman,28250,27750,500,2018-04-16 00:00:00 +0000,18,x,"",1,D000000170
C00096156,"",D000000334,Honeywell International,28200,22000,6200,2018-04-16 00:00:00 +0000,19,x,"",3,D000000334
C00492223,"",D000000125,General Electric,27500,27500,0,2018-04-16 00:00:00 +0000,20,x,"",3,D000000125
C00140855,"",D000000531,FirstEnergy Corp,27500,27500,0,2018-04-16 00:00:00 +0000,20,x,"",0,D000000531
