pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
"","",D000067697,American Airlines Group,79550,15000,64550,2018-04-16 00:00:00 +0000,1,"","",0,""
C00015933,"",D000000658,Pinnacle West Capital,63250,22500,40750,2018-04-16 00:00:00 +0000,2,x,"",0,D000000658
"","",D000036714,Pivotal Group,42873,0,42873,2018-04-16 00:00:00 +0000,3,"","",0,""
C00097568,"",D000000175,Raytheon Co,36500,30500,6000,2018-04-16 00:00:00 +0000,4,x,"",0,D000000175
C00365072,"",D000021977,Express Scripts,36450,20000,16450,2018-04-16 00:00:00 +0000,5,x,"",0,D000021977
C00284810,"",D000000272,Marriott International,35400,25000,10400,2018-04-16 00:00:00 +0000,6,x,"",0,D000000272
"","","",Freeport-Mcmoran Copper & Gold,32500,0,32500,2018-04-16 00:00:00 +0000,7,x,"",0,D000021995
C00477653,"",D000000768,Cox Enterprises,31200,25000,6200,2018-04-16 00:00:00 +0000,8,x,"",0,D000000768
"","",D000068060,ClearPath Foundation,30800,0,30800,2018-04-16 00:00:00 +0000,9,x,"",0,D000068060
C00227546,"",D000000115,Microsoft Corp,30000,30000,0,2018-04-16 00:00:00 +0000,10,x,"",0,D000000115
C00010082,"",D000022131,NCTA The Internet & Television Assn,30000,30000,0,2018-04-16 00:00:00 +0000,10,x,"",0,D000022131
C00096156,"",D000000334,Honeywell International,28000,28000,0,2018-04-16 00:00:00 +0000,12,x,"",0,D000000334
C00001198,"",D000023971,American Hotel & Lodging Assn,27500,27500,0,2018-04-16 00:00:00 +0000,13,x,"",0,D000023971
C00109017,"",D000000076,AT&T Inc,26500,26500,0,2018-04-16 00:00:00 +0000,14,x,"",0,D000000076
"","",D000029689,Visa Inc,25100,5000,20100,2018-04-16 00:00:00 +0000,15,"","",0,""
"","",D000028874,Salt River Project,24750,15000,9750,2018-04-16 00:00:00 +0000,16,"","",0,""
C00125641,"",D000000804,Intel Corp,24400,19000,5400,2018-04-16 00:00:00 +0000,17,x,"",1,D000000804
"","",D000021757,Berkshire Hathaway,24200,21500,2700,2018-04-16 00:00:00 +0000,18,"","",0,""
"","",D000030211,Susquehanna International Group,22800,0,22800,2018-04-16 00:00:00 +0000,19,x,"",0,D000030211
"","",D000069539,Knight Swift Transportation,22800,0,22800,2018-04-16 00:00:00 +0000,19,x,"",0,D000069539
