pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00350744,"",D000000085,Goldman Sachs,125300,15000,110300,2018-04-16 00:00:00 +0000,1,x,"",11,D000000085
C00323048,"",D000000422,Oracle Corp,77000,12500,64500,2018-04-16 00:00:00 +0000,2,x,"",4,D000000422
C00162735,"",D000000452,Federated Investors Inc,73300,0,73300,2018-04-16 00:00:00 +0000,3,x,"",0,D000000452
C00089136,"",D000000067,Altria Group,67750,20000,47750,2018-04-16 00:00:00 +0000,4,x,"",4,D000000067
C00493551,"",D000000172,MetLife Inc,59350,15000,44350,2018-04-16 00:00:00 +0000,5,"","",0,""
C00039305,"",D000000071,Citigroup Inc,52900,10000,42900,2018-04-16 00:00:00 +0000,6,x,"",5,D000000071
"","",D000021873,Blackstone Group,49400,0,49400,2018-04-16 00:00:00 +0000,7,x,"",3,D000021873
C00064774,"",D000000321,NextEra Energy,49000,17500,31500,2018-04-16 00:00:00 +0000,8,x,"",13,D000000321
C00251876,"",D000000391,Amgen Inc,43750,10000,33750,2018-04-16 00:00:00 +0000,9,x,"",4,D000000391
C00082792,"",D000000166,Eli Lilly & Co,41500,10000,31500,2018-04-16 00:00:00 +0000,10,x,"",3,D000000166
C00540518,"",D000021890,Capital Group Companies,36200,0,36200,2018-04-16 00:00:00 +0000,11,x,"",0,D000021890
"","",D000031011,Western National Group,31200,0,31200,2018-04-16 00:00:00 +0000,12,"","",0,""
"","",D000035750,MCNA Dental Plans,30900,0,30900,2018-04-16 00:00:00 +0000,13,"","",0,""
C00452581,"",D000025141,Copart Inc,30800,0,30800,2018-04-16 00:00:00 +0000,14,x,"",0,D000025141
"","",D000000810,Carlyle Group,30800,0,30800,2018-04-16 00:00:00 +0000,14,x,"",0,D000000810
"","",D000052474,Jackson Family Enterprises,30400,0,30400,2018-04-16 00:00:00 +0000,16,"","",0,""
"","",D000000109,Blue Cross/Blue Shield,30000,30000,0,2018-04-16 00:00:00 +0000,17,x,"",3,D000000109
C00250027,"",D000022062,Kirby Corp,27556,5000,22556,2018-04-16 00:00:00 +0000,18,x,"",0,D000022062
C00340943,"",D000021951,DaVita HealthCare Partners,27500,10000,17500,2018-04-16 00:00:00 +0000,19,x,"",0,D000021951
C00304832,"",D000025112,Constellation Brands,27300,1000,26300,2018-04-16 00:00:00 +0000,20,x,"",3,D000025112
