pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
"","",D000021873,Blackstone Group,221200,9000,212200,2018-04-16 00:00:00 +0000,1,"","",0,""
C00089136,"",D000000067,Altria Group,114800,32500,82300,2018-04-16 00:00:00 +0000,2,x,"",9,D000000067
"","",D000021972,Elliott Management,109600,0,109600,2018-04-16 00:00:00 +0000,3,x,"",0,D000021972
C00350744,"",D000000085,Goldman Sachs,107225,15000,92225,2018-04-16 00:00:00 +0000,4,"","",0,""
C00247403,"",D000022158,NorPAC,100151,-249,100400,2018-04-16 00:00:00 +0000,5,"","",0,""
"","",D000000109,Blue Cross/Blue Shield,98850,65000,33850,2018-04-16 00:00:00 +0000,6,x,"",5,D000000109
C00340943,"",D000021951,DaVita HealthCare Partners,93875,21500,72375,2018-04-16 00:00:00 +0000,7,x,"",1,D000021951
C00242271,"",D000022061,Kindred Healthcare,92400,25000,67400,2018-04-16 00:00:00 +0000,8,x,"",1,D000022061
"","",D000023865,Alliance Resource Partners,91150,5000,86150,2018-04-16 00:00:00 +0000,9,"","",0,""
C00271007,"",D000000652,Humana Inc,90450,35000,55450,2018-04-16 00:00:00 +0000,10,x,"",0,D000000652
C00493551,"",D000000172,MetLife Inc,88150,35000,53150,2018-04-16 00:00:00 +0000,11,x,"",3,D000000172
C00484535,"",D000065181,Votesane PAC,81500,0,81500,2018-04-16 00:00:00 +0000,12,"","",0,""
"","",D000000089,FedEx Corp,76800,32500,44300,2018-04-16 00:00:00 +0000,13,"","",0,""
C00248716,"",D000000461,Comcast Corp,74750,31500,43250,2018-04-16 00:00:00 +0000,14,x,"",7,D000000461
C00059733,"",D000000305,Brown-Forman Corp,73550,25000,48550,2018-04-16 00:00:00 +0000,15,x,"",0,D000000305
C00492223,"",D000000125,General Electric,70955,26500,44455,2018-04-16 00:00:00 +0000,16,x,"",5,D000000125
C00010470,"",D000000118,Union Pacific Corp,70050,30000,40050,2018-04-16 00:00:00 +0000,17,x,"",1,D000000118
C00359588,"",D000021679,BGR Group,69989,11750,58239,2018-04-16 00:00:00 +0000,18,"",x,11,D000021679
C00211318,"",D000000131,Deloitte LLP,68875,35000,33875,2018-04-16 00:00:00 +0000,19,x,x,1,D000000131
C00064766,"",D000000081,United Parcel Service,68479,35779,32700,2018-04-16 00:00:00 +0000,20,x,"",1,D000000081
