pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
"","",D000032472,Certain Software Inc,20800,0,20800,2018-04-16 00:00:00 +0000,1,"","",0,""
"","",D000055871,R&S Assoc,20800,0,20800,2018-04-16 00:00:00 +0000,1,"","",0,""
C00027342,"",D000000069,International Brotherhood of Electrical Workers,20030,20000,30,2018-04-16 00:00:00 +0000,3,x,"",0,D000000069
C00104802,"",D000000350,Delta Air Lines,15191,15000,191,2018-04-16 00:00:00 +0000,4,x,"",0,D000000350
C00001016,"",D000000073,Carpenters & Joiners Union,15000,15000,0,2018-04-16 00:00:00 +0000,5,x,"",0,D000000073
C70003108,"",D000000135,International Assn of Fire Fighters,15000,15000,0,2018-04-16 00:00:00 +0000,5,x,"",0,D000000135
C00067231,"",D000000445,HCA Inc,15000,15000,0,2018-04-16 00:00:00 +0000,5,x,"",0,D000000445
C00007922,"",D000000074,Laborers Union,15000,0,15000,2018-04-16 00:00:00 +0000,5,x,"",0,D000000074
C70005798,"",D000000136,Credit Union National Assn,15000,15000,0,2018-04-16 00:00:00 +0000,5,x,"",0,D000000136
C00023580,"",D000000084,National Assn of Letter Carriers,15000,15000,0,2018-04-16 00:00:00 +0000,5,x,"",0,D000000084
C00360354,"",D000023883,Amazon.com,12720,10000,2720,2018-04-16 00:00:00 +0000,11,"","",0,""
C00303024,"",D000000104,Lockheed Martin,12533,12500,33,2018-04-16 00:00:00 +0000,12,x,"",1,D000000104
C00003251,"",D000000064,National Education Assn,12135,12000,135,2018-04-16 00:00:00 +0000,13,x,"",0,D000000064
C00512293,"",D000000304,American Federation of Government Employees,12000,12000,0,2018-04-16 00:00:00 +0000,14,x,"",0,D000000304
"","",D000000750,Stanford University,11830,0,11830,2018-04-16 00:00:00 +0000,15,x,"",0,D000000750
C90011172,"",D000000061,American Federation of State/Cnty/Munic Employees,11535,11500,35,2018-04-16 00:00:00 +0000,16,x,"",0,D000000061
"","",D000067823,Alphabet Inc,10925,10000,925,2018-04-16 00:00:00 +0000,17,"","",0,""
"","",D000037351,San Francisco Unified School District,10637,0,10637,2018-04-16 00:00:00 +0000,18,"","",0,""
"","",D000000109,Blue Cross/Blue Shield,10618,10000,618,2018-04-16 00:00:00 +0000,19,"","",0,""
C00104901,"",D000000162,"Akin, Gump et al",10500,5000,5500,2018-04-16 00:00:00 +0000,20,"",x,2,D000000162
