pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00484535,"",D000065181,Votesane PAC,535000,0,535000,2018-04-16 00:00:00 +0000,1,"","",0,""
C00227744,"",D000000098,Ernst & Young,129600,30000,99600,2018-04-16 00:00:00 +0000,2,x,x,10,D000000098
C00227546,"",D000000115,Microsoft Corp,111200,27500,83700,2018-04-16 00:00:00 +0000,3,x,"",12,D000000115
"","",D000021873,Blackstone Group,92900,5000,87900,2018-04-16 00:00:00 +0000,4,x,"",8,D000021873
C00251876,"",D000000391,Amgen Inc,81020,35000,46020,2018-04-16 00:00:00 +0000,5,x,"",15,D000000391
"","",D000000109,Blue Cross/Blue Shield,79700,76700,3000,2018-04-16 00:00:00 +0000,6,x,"",12,D000000109
C00236489,"",D000000186,Koch Industries,74500,35000,39500,2018-04-16 00:00:00 +0000,7,x,"",9,D000000186
C00574921,"",D000037311,Ryan LLC,67600,20000,47600,2018-04-16 00:00:00 +0000,8,x,"",1,D000037311
"","",D000025929,Fresenius Medical Care,62000,20000,42000,2018-04-16 00:00:00 +0000,9,x,"",3,D000025929
"","","",Medistar Corp,56400,0,56400,2018-04-16 00:00:00 +0000,10,"","",0,""
C00128512,"",D000000103,JPMorgan Chase & Co,55800,27500,28300,2018-04-16 00:00:00 +0000,11,x,"",13,D000000103
C00104901,"",D000000162,"Akin, Gump et al",52400,25250,27150,2018-04-16 00:00:00 +0000,12,"",x,2,D000000162
"","",D000000134,Credit Suisse Group,52300,27000,25300,2018-04-16 00:00:00 +0000,13,"","",0,""
C00142786,"",D000027998,Nike Inc,50600,5000,45600,2018-04-16 00:00:00 +0000,14,x,"",4,D000027998
C00248716,"",D000000461,Comcast Corp,49900,30000,19900,2018-04-16 00:00:00 +0000,15,x,"",6,D000000461
"","",D000068909,Ocean Star International,47000,0,47000,2018-04-16 00:00:00 +0000,16,"","",0,""
C00009985,"",D000000202,National Assn of Broadcasters,45750,35000,10750,2018-04-16 00:00:00 +0000,17,x,"",3,D000000202
C00016683,"",D000000138,Pfizer Inc,45200,37500,7700,2018-04-16 00:00:00 +0000,18,x,"",10,D000000138
C00097485,"",D000000275,Merck & Co,45000,35000,10000,2018-04-16 00:00:00 +0000,19,x,"",7,D000000275
C00350744,"",D000000085,Goldman Sachs,44400,12000,32400,2018-04-16 00:00:00 +0000,20,"","",0,""
