pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
"","",D000021872,BlackRock Inc,115800,10000,105800,2018-03-26 00:00:00 +0000,1,"","",0,""
"","",D000021873,Blackstone Group,78712,0,78712,2018-03-26 00:00:00 +0000,2,x,"",0,D000021873
"","",D000021808,Affiliated Managers Group,72800,0,72800,2018-03-26 00:00:00 +0000,3,"","",0,""
C00350744,"",D000000085,Goldman Sachs,66200,0,66200,2018-03-26 00:00:00 +0000,4,x,"",1,D000000085
C00158881,"",D000000249,New York Life Insurance,63335,0,63335,2018-03-26 00:00:00 +0000,5,"","",0,""
C00263731,"",D000000772,Station Casinos,56600,0,56600,2018-03-26 00:00:00 +0000,6,x,"",0,D000000772
"","",D000021907,Cerberus Capital Management,48350,1000,47350,2018-03-26 00:00:00 +0000,7,"","",0,""
"","",D000021757,Berkshire Hathaway,47150,12600,34550,2018-03-26 00:00:00 +0000,8,x,"",0,D000021757
"","",D000025688,Energy Transfer Equity,46950,15000,31950,2018-03-26 00:00:00 +0000,9,"","",0,""
"","",D000067968,Hay Island Holding,41600,0,41600,2018-03-26 00:00:00 +0000,10,"","",0,""
"","",D000000810,Carlyle Group,41380,0,41380,2018-03-26 00:00:00 +0000,11,"","",0,""
C00034157,"",D000000126,AFLAC Inc,39905,10000,29905,2018-03-26 00:00:00 +0000,12,x,"",0,D000000126
C00248716,"",D000000461,Comcast Corp,39050,15000,24050,2018-03-26 00:00:00 +0000,13,x,"",4,D000000461
C00021972,"",D000000504,Pharmaceutical Research & Manufacturers Of America,33300,0,33300,2018-03-26 00:00:00 +0000,14,x,"",15,D000000504
"","",D000000109,Blue Cross/Blue Shield,31436,20000,11436,2018-03-26 00:00:00 +0000,15,x,"",5,D000000109
C00082792,"",D000000166,Eli Lilly & Co,30875,10000,20875,2018-03-26 00:00:00 +0000,16,"","",0,""
C00380550,"",D000021987,FMR Corp,30800,15000,15800,2018-03-26 00:00:00 +0000,17,"","",0,""
"","",D000061745,Hunt Companies,30800,0,30800,2018-03-26 00:00:00 +0000,17,x,"",0,D000061745
C00096156,"",D000000334,Honeywell International,30400,20000,10400,2018-03-26 00:00:00 +0000,19,x,"",3,D000000334
C00435321,"",D000028058,Nustar Energy,30400,15000,15400,2018-03-26 00:00:00 +0000,19,x,"",0,D000028058
C00492223,"",D000000125,General Electric,30000,15000,15000,2018-03-26 00:00:00 +0000,21,"","",0,""
"","",D000033603,Fayez Sarofim & Co,28900,0,28900,2018-03-26 00:00:00 +0000,22,"","",0,""
C00409516,"",D000025515,Direct Supply Inc,28864,0,28864,2018-03-26 00:00:00 +0000,23,x,"",0,D000025515
C00104901,"",D000000162,"Akin, Gump et al",26800,10000,16800,2018-03-26 00:00:00 +0000,24,"","",0,""
C00359588,"",D000021679,BGR Group,26700,0,26700,2018-03-26 00:00:00 +0000,25,"","",0,""
"","",D000042510,Anheuser-Busch InBev,25800,10000,15800,2018-03-26 00:00:00 +0000,26,x,"",5,D000042510
"","",D000030113,Stewart & Stevenson,25800,0,25800,2018-03-26 00:00:00 +0000,26,"","",0,""
C00097485,"",D000000275,Merck & Co,25600,15000,10600,2018-03-26 00:00:00 +0000,28,x,"",3,D000000275
"","",D000054524,Navigators Global,25600,0,25600,2018-03-26 00:00:00 +0000,28,"","",0,""
C00034405,"",D000000171,International Paper,25550,20000,5550,2018-03-26 00:00:00 +0000,30,x,"",2,D000000171
C00369751,"",D000000585,Dell Technologies,25400,15000,10400,2018-03-26 00:00:00 +0000,31,x,"",4,D000000585
C00010983,"",D000000386,Johnson & Johnson,25400,15000,10400,2018-03-26 00:00:00 +0000,31,x,"",3,D000000386
"","",D000035205,L&F Distributors,25400,0,25400,2018-03-26 00:00:00 +0000,31,"","",0,""
