pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C90009945,"",D000000763,Club for Growth,77630,0,77630,2018-04-16 00:00:00 +0000,1,"","",0,""
"","",D000035667,Mason Capital Management,77600,0,77600,2018-04-16 00:00:00 +0000,2,"","",0,""
"","",D000061742,Huffines Communities,56200,0,56200,2018-04-16 00:00:00 +0000,3,"","",0,""
"","",D000033676,Forcht Group of Kentucky,52850,0,52850,2018-04-16 00:00:00 +0000,4,"","",0,""
C00059733,"",D000000305,Brown-Forman Corp,51600,14000,37600,2018-04-16 00:00:00 +0000,5,x,"",1,D000000305
"","",D000063274,Sara Story Design,35600,0,35600,2018-04-16 00:00:00 +0000,6,"","",0,""
"","",D000031026,Wexford Capital,35400,0,35400,2018-04-16 00:00:00 +0000,7,"","",0,""
C00109017,"",D000000076,AT&T Inc,34650,32000,2650,2018-04-16 00:00:00 +0000,8,x,"",1,D000000076
"","","",Charah Inc,34513,0,34513,2018-04-16 00:00:00 +0000,9,"","",0,""
C70005798,"",D000000136,Credit Union National Assn,33000,31000,2000,2018-04-16 00:00:00 +0000,10,x,"",1,D000000136
"","",D000068519,RagingWire Enterprise Solutions,30975,0,30975,2018-04-16 00:00:00 +0000,11,"","",0,""
C00410985,"",D000022123,Murray Energy,30100,7000,23100,2018-04-16 00:00:00 +0000,12,"","",0,""
C00064766,"",D000000081,United Parcel Service,30067,26499,3568,2018-04-16 00:00:00 +0000,13,x,"",1,D000000081
C00236489,"",D000000186,Koch Industries,30000,30000,0,2018-04-16 00:00:00 +0000,14,x,"",0,D000000186
"","",D000037052,Reschini Group,30000,0,30000,2018-04-16 00:00:00 +0000,14,"","",0,""
"","",D000036714,Pivotal Group                                     ,29835,0,29835,2018-04-16 00:00:00 +0000,16,"","",0,""
"","","",Papercone Corp,28600,0,28600,2018-04-16 00:00:00 +0000,17,"","",0,""
C00251876,"",D000000391,Amgen Inc,28600,20000,8600,2018-04-16 00:00:00 +0000,17,x,"",1,D000000391
"","",D000032483,Chandler Management,28000,0,28000,2018-04-16 00:00:00 +0000,19,"","",0,""
"","",D000030271,TAMKO Building Products,26200,0,26200,2018-04-16 00:00:00 +0000,20,"","",0,""
