pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
"","",D000030698,University of Wisconsin,159360,0,159360,2018-04-16 00:00:00 +0000,1,x,"",0,D000030698
C90014028,"",D000052457,J Street,98283,0,98283,2018-04-16 00:00:00 +0000,2,"","",0,""
C00450098,"",D000029916,Womencount PAC,85955,25,85930,2018-04-16 00:00:00 +0000,3,"","",0,""
C00486845,"",D000000288,League of Conservation Voters,78947,7500,71447,2018-04-16 00:00:00 +0000,4,x,"",0,D000000288
C00193433,"",D000000113,Emily's List,42156,5000,37156,2018-04-16 00:00:00 +0000,5,"","",0,""
C00003251,"",D000000064,National Education Assn,39170,30000,9170,2018-04-16 00:00:00 +0000,6,x,"",0,D000000064
"","",D000043153,Congaree River LP,37950,0,37950,2018-04-16 00:00:00 +0000,7,"","",0,""
"","",D000000343,Northwestern Mutual,36701,35000,1701,2018-04-16 00:00:00 +0000,8,"","",0,""
C00027342,"",D000000069,International Brotherhood of Electrical Workers,35165,35000,165,2018-04-16 00:00:00 +0000,9,x,"",0,D000000069
C90011172,"",D000000061,American Federation of State/Cnty/Munic Employees,34987,32500,2487,2018-04-16 00:00:00 +0000,10,x,"",0,D000000061
C00105338,"",D000021988,Foley & Lardner,32055,9000,23055,2018-04-16 00:00:00 +0000,11,x,x,0,D000021988
"","",D000063747,"Town of Somerset, MD",30000,0,30000,2018-04-16 00:00:00 +0000,12,"","",0,""
C00492223,"",D000000125,General Electric,28721,21500,7221,2018-04-16 00:00:00 +0000,13,x,"",1,D000000125
C00603076,"",D000035853,"Michael, Best & Friedrich",27670,2500,25170,2018-04-16 00:00:00 +0000,14,"","",0,""
"","","",Miller-St Nazianz Inc,27000,0,27000,2018-04-16 00:00:00 +0000,15,"","",0,""
"","",D000034396,Invariant LLC,26700,0,26700,2018-04-16 00:00:00 +0000,16,"",x,0,D000034396
C00303024,"",D000000104,Lockheed Martin,26521,23000,3521,2018-04-16 00:00:00 +0000,17,x,"",0,D000000104
C00304477,"",D000028179,Oshkosh Corp,25625,7000,18625,2018-04-16 00:00:00 +0000,18,x,"",0,D000028179
C00024521,"",D000000065,American Assn for Justice,25300,25000,300,2018-04-16 00:00:00 +0000,19,x,x,0,D000000065
C00157545,"",D000000083,American Federation of Teachers,25000,25000,0,2018-04-16 00:00:00 +0000,20,x,"",0,D000000083
C00624817,"",D000000139,Operating Engineers Union,25000,25000,0,2018-04-16 00:00:00 +0000,20,"","",0,""
C00000885,"",D000000250,Painters & Allied Trades Union,25000,25000,0,2018-04-16 00:00:00 +0000,20,x,"",0,D000000250
C00193631,"",D000000359,Farm Credit Council,25000,25000,0,2018-04-16 00:00:00 +0000,20,x,"",0,D000000359
