pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00193433,"",D000000113,Emily's List,428185,10000,418185,2018-04-16 00:00:00 +0000,1,"","",0,""
C90014028,"",D000052457,J Street,213600,4943,208657,2018-04-16 00:00:00 +0000,2,"","",0,""
C00486845,"",D000000288,League of Conservation Voters,191517,19999,171518,2018-04-16 00:00:00 +0000,3,x,"",0,D000000288
"","",D000022252,Simmons Hanly Conroy,129525,0,129525,2018-04-16 00:00:00 +0000,4,"","",0,""
C00027342,"",D000000069,International Brotherhood of Electrical Workers,59030,57500,1530,2018-04-16 00:00:00 +0000,5,x,"",0,D000000069
C00002766,"",D000000072,United Food & Commercial Workers Union,52855,52500,355,2018-04-16 00:00:00 +0000,6,"","",0,""
"","",D000031090,Willis Group Holdings                   ,52069,0,52069,2018-04-16 00:00:00 +0000,7,"","",0,""
C00387555,"",D000019809,Council for a Livable World,45087,0,45087,2018-04-16 00:00:00 +0000,8,"","",0,""
"","",D000000811,Kirkland & Ellis,45060,0,45060,2018-04-16 00:00:00 +0000,9,"",x,0,D000000811
C00088591,"",D000000170,Northrop Grumman,44652,40000,4652,2018-04-16 00:00:00 +0000,10,x,"",0,D000000170
C00365072,"",D000021977,Express Scripts,41285,31000,10285,2018-04-16 00:00:00 +0000,11,x,"",0,D000021977
C00027532,"",D000000159,American Maritime Officers,40000,40000,0,2018-04-16 00:00:00 +0000,12,x,"",0,D000000159
"","",D000021935,Cooney & Conway,39950,0,39950,2018-04-16 00:00:00 +0000,13,"","",0,""
"","",D000000109,Blue Cross/Blue Shield,38820,20000,18820,2018-04-16 00:00:00 +0000,14,x,"",0,D000000109
C00418897,"",D000029722,VoteVets.org,37500,37500,0,2018-04-16 00:00:00 +0000,15,x,"",0,D000029722
C00110338,"",D000000219,American Crystal Sugar,35000,35000,0,2018-04-16 00:00:00 +0000,16,x,"",0,D000000219
C00007542,"",D000000097,Sheet Metal Workers Union,34500,34000,500,2018-04-16 00:00:00 +0000,17,x,"",0,D000000097
"","",D000036277,Northwestern University,34277,0,34277,2018-04-16 00:00:00 +0000,18,"","",0,""
C00141218,"",D000000368,Exelon Corp,32517,12000,20517,2018-04-16 00:00:00 +0000,19,"","",0,""
C00032995,"",D000000203,Amalgamated Transit Union,32500,32500,0,2018-04-16 00:00:00 +0000,20,"","",0,""
