pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
"","",D000067658,Woodforest Financial Group,150001,0,150001,2018-04-16 00:00:00 +0000,1,"","",0,""
"","",D000031722,Avalon Advisors,70900,0,70900,2018-04-16 00:00:00 +0000,2,"","",0,""
C00448696,"",D000028985,Senate Conservatives Fund,70038,5000,65038,2018-04-16 00:00:00 +0000,3,"","",0,""
C00303024,"",D000000104,Lockheed Martin,68270,35000,33270,2018-04-16 00:00:00 +0000,4,x,"",1,D000000104
"","",D000029233,Stewart Information Services,57150,0,57150,2018-04-16 00:00:00 +0000,5,"","",0,""
"","","",Redman Management,56000,0,56000,2018-04-16 00:00:00 +0000,6,"","",0,""
"","",D000036906,Quantum Energy Partners,54700,0,54700,2018-04-16 00:00:00 +0000,7,"","",0,""
"","",D000030113,Stewart & Stevenson                               ,52400,0,52400,2018-04-16 00:00:00 +0000,8,"","",0,""
"","","",RIDA Development,48700,0,48700,2018-04-16 00:00:00 +0000,9,"","",0,""
C90009945,"",D000000763,Club for Growth,46025,0,46025,2018-04-16 00:00:00 +0000,10,"","",0,""
"","","",Lodge Lumber,45000,0,45000,2018-04-16 00:00:00 +0000,11,"","",0,""
"","",D000044060,Saulsbury Industries,44400,0,44400,2018-04-16 00:00:00 +0000,12,"","",0,""
C00266585,"",D000000344,Greenberg Traurig LLP,43500,0,43500,2018-04-16 00:00:00 +0000,13,"",x,0,D000000344
C00391979,"",D000026473,Herzog Contracting                      ,42800,0,42800,2018-04-16 00:00:00 +0000,14,"","",0,""
"","",D000000464,Sullivan & Cromwell,42000,0,42000,2018-04-16 00:00:00 +0000,15,"",x,0,D000000464
"","","",RE Janes Gravel Co,41000,0,41000,2018-04-16 00:00:00 +0000,16,"","",0,""
"","",D000031612,Ariel Corp,40800,0,40800,2018-04-16 00:00:00 +0000,17,"","",0,""
"","",D000022250,Silver Eagle Distributors,40600,0,40600,2018-04-16 00:00:00 +0000,18,"","",0,""
"","","",Scot Industries,39700,0,39700,2018-04-16 00:00:00 +0000,19,"","",0,""
"","",D000041597,Moncrief Oil,39600,0,39600,2018-04-16 00:00:00 +0000,20,"","",0,""
