pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C90014028,"",D000052457,J Street,178061,8910,169151,2018-04-16 00:00:00 +0000,1,"","",0,""
C00089136,"",D000000067,Altria Group,94201,32500,61701,2018-04-16 00:00:00 +0000,2,x,"",1,D000000067
C00462630,"",D000021942,Covington & Burling,92500,0,92500,2018-04-16 00:00:00 +0000,3,"",x,0,D000021942
"","",D000000536,Latham & Watkins,75450,0,75450,2018-04-16 00:00:00 +0000,4,"",x,0,D000000536
C00009282,"",D000019639,Norfolk Southern,68900,32500,36400,2018-04-16 00:00:00 +0000,5,x,"",1,D000019639
C00325092,"",D000064813,Huntington Ingalls Industries,68850,35000,33850,2018-04-16 00:00:00 +0000,6,x,"",0,D000064813
C00104901,"",D000000162,"Akin, Gump et al",68277,5500,62777,2018-04-16 00:00:00 +0000,7,"",x,1,D000000162
C00211318,"",D000000131,Deloitte LLP,67275,35000,32275,2018-04-16 00:00:00 +0000,8,x,x,1,D000000131
"","",D000068983,Route One Investment,67000,0,67000,2018-04-16 00:00:00 +0000,9,"","",0,""
C00486845,"",D000000288,League of Conservation Voters,66305,11500,54805,2018-04-16 00:00:00 +0000,10,"","",0,""
"","",D000031992,Bloomberg LP,62950,0,62950,2018-04-16 00:00:00 +0000,11,x,"",0,D000031992
C00088591,"",D000000170,Northrop Grumman,61445,27500,33945,2018-04-16 00:00:00 +0000,12,x,"",0,D000000170
"","",D000043616,Bluestem Asset Management,60600,0,60600,2018-04-16 00:00:00 +0000,13,"","",0,""
C00225342,"",D000022103,McGuireWoods LLP,59975,10000,49975,2018-04-16 00:00:00 +0000,14,x,x,1,D000022103
C00540518,"",D000021890,Capital Group Companies,56023,30000,26023,2018-04-16 00:00:00 +0000,15,x,"",0,D000021890
C00204453,"",D000000550,King & Spalding,52625,5000,47625,2018-04-16 00:00:00 +0000,16,x,x,0,D000000550
C00227546,"",D000000115,Microsoft Corp,51500,20500,31000,2018-04-16 00:00:00 +0000,17,x,"",1,D000000115
"","",D000058495,Weiss Asset Management,50600,0,50600,2018-04-16 00:00:00 +0000,18,"","",0,""
C00351270,"",D000022249,Sidley Austin LLP,47100,1000,46100,2018-04-16 00:00:00 +0000,19,x,x,0,D000022249
"","",D000000464,Sullivan & Cromwell,47050,0,47050,2018-04-16 00:00:00 +0000,20,"","",0,""
